"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1703030106",2017/11/03,"17","2",1,2,1700,750,"ウォーターバオバブ",2,2,1,"4",15,1,3,2,2,0,0,0,0,0,0,0,15,1,3,2,2,0,1,0,0,0,0,0,56.4527395284993,107.8,109.039348370927,9,10,17.5
"1703030106",2017/11/03,"17","2",1,2,1700,750,"キャニオンロード",5,8,3,"4",12,1,1,1,1,2,3,0,0,1,0,0,1,0,0,0,0,0,11,1,1,1,1,2,54.8907720430364,108.1,109.039348370927,13,12,35.9
"1703030106",2017/11/03,"17","2",1,2,1700,750,"ショウブニデル",7,13,1,"3",9,1,3,0,0,2,0,0,0,0,0,0,9,1,3,0,0,2,9,1,3,0,0,2,50.7255254151356,108.9,109.039348370927,14,3,6.5
"1703030106",2017/11/03,"17","2",1,2,1700,750,"ジオラマ",6,10,1,"4",12,2,0,1,1,1,0,0,0,0,0,0,12,2,0,1,1,1,6,0,0,1,0,0,59.5766744994249,107.2,109.039348370927,4,2,5.4
"1703030106",2017/11/03,"17","2",1,2,1700,750,"スズカミラージュ",4,6,1,"4",6,2,1,1,0,0,0,0,0,0,0,0,6,2,1,1,0,0,6,2,1,1,0,0,59.5766744994249,107.2,109.039348370927,5,4,8
"1703030106",2017/11/03,"17","2",1,2,1700,750,"スプリングキャロル",8,14,2,"4",17,1,1,5,1,0,4,1,1,2,0,0,15,1,1,4,1,0,13,1,1,3,0,0,55.9320837000117,107.9,109.039348370927,11,8,15.4
"1703030106",2017/11/03,"17","2",1,2,1700,750,"テイア",4,7,2,"5",39,1,0,0,1,0,7,0,0,0,1,0,31,1,0,0,1,0,18,0,0,0,1,0,55.9320837000117,107.9,109.039348370927,10,15,215.9
"1703030106",2017/11/03,"17","2",1,2,1700,750,"フィルムフランセ",8,15,2,"3",10,1,2,3,2,0,1,1,0,0,0,0,10,1,2,3,2,0,9,1,2,3,1,0,62.1799536418629,106.7,109.039348370927,2,7,12.1
"1703030106",2017/11/03,"17","2",1,2,1700,750,"ブランダルジャン",3,5,2,"5",25,0,0,4,1,2,4,0,0,0,0,0,2,0,0,0,1,1,8,0,0,1,1,2,55.9320837000117,107.9,109.039348370927,12,14,61
"1703030106",2017/11/03,"17","2",1,2,1700,750,"ミュゼリバイアサン",5,9,1,"4",24,1,3,4,2,3,3,0,1,1,0,0,22,1,3,4,2,2,22,1,3,4,2,2,58.5353628424497,107.4,109.039348370927,6,11,28.7
