"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","AVG_STD_DEV","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","RACE_COURSE_AVG_STD_DEV","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","COURSE_AVG_STD_DEV","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","DISTANCE_AVG_STD_DEV","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1703030110",2017/11/03,"17","1",1,1,1800,1050,"マルターズゲイル",1,2,1,"4",18,1,1,4,2,1,51.0867173622588,1,0,1,0,0,0,46.9290829223476,12,0,1,3,1,1,50.5108425166111,17,1,1,4,2,1,51.3746535119255,61.4343857149151,107.5,109.972506738544,6,9,31.8
"1708050109",2017/11/03,"17","1",1,1,1800,1500,"トリオンフ",2,2,3,"3",8,2,2,0,2,0,52.8969864185774,2,0,0,0,1,0,54.6737588648611,8,2,2,0,2,0,52.8969864185774,8,2,2,0,2,0,52.8969864185774,61.3111613364062,107.7,110.281837160752,2,4,7.9
"1708050104",2017/11/03,"17","1",1,1,2000,500,"ピリカクル",2,2,2,"2",1,0,0,0,1,0,53.8262095638807,1,0,0,0,1,0,53.8262095638807,1,0,0,0,1,0,53.8262095638807,1,0,0,0,1,0,53.8262095638807,49.6421310101477,123.5,123.38880952381,3,3,8.2
"1703030109",2017/11/03,"17","1",1,1,2600,1050,"レッドジェノヴァ",2,2,2,"3",7,1,2,1,1,1,52.3022821046237,0,0,0,0,0,0,0,7,1,2,1,1,1,52.3022821046237,0,0,0,0,0,0,0,64.3493317158813,158.6,162.155462184874,1,1,1.6
"1703030105",2017/11/03,"17","3",1,1,2750,780,"ブルーガーディアン",2,2,1,"5",27,1,0,1,3,4,50.4301595189651,0,0,0,0,0,0,0,3,0,0,1,1,0,51.9735913578777,3,0,0,1,1,0,51.9735913578777,48.8200243230139,184.2,183.77676056338,6,2,3.4
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"クリノダイコクテン",2,2,1,"6",45,3,5,4,1,4,51.1203084782745,3,0,1,0,0,1,53.5111414007355,18,2,3,1,1,3,53.3588992643866,9,1,1,1,0,2,56.161503209161,42.2093705861497,226.1,224.675,10,6,12.2
"1703030108",2017/11/03,"17","2",1,2,1150,750,"ファステストネオ",3,3,2,"3",8,1,0,3,1,0,47.9150004928096,1,0,0,0,0,0,38.9740173294486,8,1,0,3,1,0,47.9150004928096,5,0,0,2,1,0,44.2607895505836,58.0793096137117,69.8,70.941784989858,12,9,78.4
"1703030112",2017/11/03,"17","2",1,2,1150,750,"リープリッヒターゲ",3,3,2,"3",5,0,0,0,0,1,36.8271229661414,1,0,0,0,0,1,48.5935187295657,1,0,0,0,0,0,31.7933754485079,1,0,0,0,0,1,48.5935187295657,45.3424480908697,71.6,70.941784989858,12,13,251.6
"1708050101",2017/11/03,"17","2",1,1,1200,500,"アイファーフォルテ",3,3,2,"2",3,0,0,0,0,0,31.4847287151341,0,0,0,0,0,0,0,2,0,0,0,0,0,30.4410226669647,3,0,0,0,0,0,31.4847287151341,39.0400952354588,75.4,73.4197752808989,10,14,245.9
"1708050106",2017/11/03,"17","2",1,1,1400,700,"ダンツヒロイン",3,3,2,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47665274281,90.9,86.3938536585366,11,13,154.5
"1708050112",2017/11/03,"17","2",1,1,1400,750,"トーホウシーマ",2,3,1,"3",9,0,0,1,2,1,49.1094767397539,2,0,0,0,1,1,56.3528310528945,0,0,0,0,0,0,0,8,0,0,1,2,1,48.2115624282404,53.2318700691633,85.8,86.3938536585366,10,9,43.2
"1708050110",2017/11/03,"17","2",1,1,1400,1820,"カバーストーリー",2,3,1,"6",40,4,1,3,5,6,56.9630148851458,9,1,0,0,1,1,58.8651631983104,0,0,0,0,0,0,0,23,2,1,1,1,4,57.3190889718404,57.0414097021922,85.1,86.3938536585366,10,9,56.8
